Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,BatteryHolder_Keystone_1060_1x2032,130.000000,-90.600000,270.000000,top
BZ1,Buzzer,Buzzer_Murata_PKMCS0909E4000-R1,112.000000,-101.000000,0.000000,top
C1,0.1uF,C_0603_1608Metric,115.700000,-78.100000,180.000000,top
C2,0.1uF,C_0603_1608Metric,115.700000,-79.900000,0.000000,top
D1,YELLOW,LED_0805_2012Metric_Castellated,104.000000,-87.037500,270.000000,top
D2,RED,LED_0805_2012Metric_Castellated,104.000000,-93.037500,270.000000,top
R1,R75,R_0603_1608Metric,104.100000,-83.000000,90.000000,top
R2,R75,R_0603_1608Metric,104.000000,-97.287500,90.000000,top
R3,1k,R_0603_1608Metric,109.200000,-81.500000,0.000000,top
SW1,SW_Push,SW_SPST_TL3342,113.000000,-90.000000,270.000000,top
U1,TLC555IDR,SOIC-8_3.9x4.9mm_P1.27mm,109.100000,-77.600000,0.000000,top
